,precision,recall,f1-score,support
0,0.5,0.7692307692307693,0.6060606060606061,13.0
1,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
2,0.5,0.36363636363636365,0.4210526315789474,11.0
3,0.3684210526315789,0.6363636363636364,0.4666666666666667,11.0
4,1.0,0.1111111111111111,0.19999999999999998,9.0
5,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
accuracy,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174
macro avg,0.5852130325814536,0.46057646057646057,0.4463178147388674,69.0
weighted avg,0.5639097744360904,0.4782608695652174,0.4573161053710253,69.0
